Volume,vw,Open,Close,High,Low,timestamp,n
15471.729162,116.2624,116.27,116.3261,116.35,116.16,2026-07-31 15:50:00,293
14643.171732,116.4144,116.3,116.49,116.49,116.3,2026-07-31 15:51:00,253
27618.705,116.4909,116.485,116.68,116.7,116.31,2026-07-31 15:52:00,504
22523.471201,116.4855,116.66,116.4,116.67,116.3717,2026-07-31 15:53:00,363
35258.554467,116.5949,116.39,116.64,116.695,116.39,2026-07-31 15:54:00,387
16073.011777,116.6902,116.64,116.735,116.76,116.61,2026-07-31 15:55:00,295
15092.823848,116.8014,116.76,116.815,116.88,116.735,2026-07-31 15:56:00,293
33124.054176,116.9704,116.84,116.97,117.175,116.82,2026-07-31 15:57:00,484
16149.509421,116.9172,116.93,116.92,117.0,116.91,2026-07-31 15:58:00,290
15028.829075,116.9323,116.95,116.9,116.95,116.89,2026-07-31 15:59:00,226
22016.24605,116.9791,116.92,117.05,117.0718,116.92,2026-07-31 16:00:00,396
39060.668937,117.0607,117.025,117.03,117.165,116.98,2026-07-31 16:01:00,560
19587.848021,117.1119,117.065,117.25,117.25,117.04,2026-07-31 16:02:00,302
19335.586018,117.3619,117.24,117.45,117.49,117.22,2026-07-31 16:03:00,336
22057.2,117.5872,117.47,117.64,117.665,117.47,2026-07-31 16:04:00,321
28059.4221,117.7036,117.62,117.68,117.815,117.62,2026-07-31 16:05:00,449
16509.826781,117.5999,117.69,117.56,117.69,117.53,2026-07-31 16:06:00,291
34296.450332,117.5372,117.54,117.48,117.63,117.46,2026-07-31 16:07:00,453
24088.917105,117.4589,117.505,117.485,117.51,117.405,2026-07-31 16:08:00,352
13673.878305,117.5333,117.48,117.42,117.62,117.4007,2026-07-31 16:09:00,263
26479.281809,117.3724,117.415,117.4286,117.49,117.27,2026-07-31 16:10:00,450
14357.927287,117.4874,117.4,117.5,117.59,117.38,2026-07-31 16:11:00,291
15534.425,117.4463,117.5,117.435,117.515,117.4,2026-07-31 16:12:00,248
17063.380849,117.544,117.435,117.655,117.665,117.435,2026-07-31 16:13:00,245
12824.906308,117.6757,117.68,117.73,117.73,117.605,2026-07-31 16:14:00,208
16688.350766,117.7206,117.765,117.695,117.765,117.67,2026-07-31 16:15:00,246
16308.46957,117.6986,117.685,117.7097,117.735,117.67,2026-07-31 16:16:00,212
12868.554101,117.5762,117.66,117.5,117.66,117.5,2026-07-31 16:17:00,239
17226.405025,117.5963,117.505,117.685,117.71,117.505,2026-07-31 16:18:00,267
14105.85279,117.8131,117.745,117.81,117.835,117.72,2026-07-31 16:19:00,174
33309.592284,117.7255,117.79,117.67,117.94,117.58,2026-07-31 16:20:00,552
43607.193108,117.8089,117.6401,117.76,117.93,117.625,2026-07-31 16:21:00,523
13188.58487,117.8104,117.765,117.76,117.86,117.745,2026-07-31 16:22:00,226
20342.752848,117.6137,117.76,117.575,117.77,117.505,2026-07-31 16:23:00,326
11457.571563,117.5613,117.56,117.57,117.6,117.51,2026-07-31 16:24:00,219
14669.329639,117.477,117.55,117.27,117.57,117.22,2026-07-31 16:25:00,269
12639.972749,117.3088,117.25,117.29,117.37,117.2,2026-07-31 16:26:00,241
22028.18512,117.3736,117.28,117.39,117.5,117.28,2026-07-31 16:27:00,361
10589.148111,117.429,117.43,117.41,117.49,117.35,2026-07-31 16:28:00,221
11694.668346,117.3968,117.43,117.305,117.44,117.3,2026-07-31 16:29:00,261
19914.924715,117.3505,117.32,117.21,117.47,117.2,2026-07-31 16:30:00,370
46568.948702,117.2661,117.21,117.34,117.38,117.11,2026-07-31 16:31:00,739
15722.793564,117.3319,117.35,117.27,117.375,117.27,2026-07-31 16:32:00,337
11172.0251,117.2623,117.25,117.33,117.33,117.23,2026-07-31 16:33:00,266
11924.870102,117.2669,117.35,117.195,117.35,117.17,2026-07-31 16:34:00,209
17408.36506,117.1701,117.17,117.1975,117.26,117.12,2026-07-31 16:35:00,310
8277.049084,117.2027,117.19,117.195,117.23,117.18,2026-07-31 16:36:00,215
37002.742462,117.0255,117.165,117.05,117.17,116.94,2026-07-31 16:37:00,459
20031.832492,117.0727,117.01,117.11,117.17,116.959,2026-07-31 16:38:00,398
2806.555371,117.1324,117.11,117.12,117.12,117.09,2026-07-31 16:39:00,80
14208.79892,117.1318,117.1,117.19,117.19,117.09,2026-07-31 16:40:00,259
11739.0,117.2261,117.21,117.21,117.28,117.19,2026-07-31 16:41:00,221
11113.165584,117.1439,117.205,117.115,117.205,117.1015,2026-07-31 16:42:00,225
16758.547601,117.0783,117.1,117.05,117.1245,117.0,2026-07-31 16:43:00,332
10517.851908,117.0173,117.05,117.005,117.06,116.92,2026-07-31 16:44:00,240
33619.826606,117.1138,117.02,117.22,117.23,117.02,2026-07-31 16:45:00,589
16443.111334,117.2467,117.24,117.285,117.32,117.185,2026-07-31 16:46:00,273
8745.630504,117.2434,117.285,117.22,117.3007,117.2,2026-07-31 16:47:00,167
23500.979839,117.3122,117.21,117.445,117.4657,117.21,2026-07-31 16:48:00,444
24234.094043,117.432,117.44,117.435,117.47,117.38,2026-07-31 16:49:00,402
15249.82082,117.4047,117.435,117.41,117.46,117.34,2026-07-31 16:50:00,353
12435.704728,117.454,117.38,117.52,117.52,117.38,2026-07-31 16:51:00,298
13827.135997,117.4973,117.5,117.5,117.535,117.48,2026-07-31 16:52:00,290
14724.610235,117.4822,117.49,117.47,117.53,117.415,2026-07-31 16:53:00,256
12291.130299,117.4649,117.4902,117.4,117.5199,117.4,2026-07-31 16:54:00,288
9365.684074,117.4104,117.41,117.42,117.44,117.35,2026-07-31 16:55:00,242
13701.48433,117.4514,117.4578,117.45,117.5,117.38,2026-07-31 16:56:00,315
11425.58477,117.4854,117.47,117.5,117.52,117.46,2026-07-31 16:57:00,221
11625.291612,117.4736,117.48,117.49,117.5244,117.42,2026-07-31 16:58:00,282
6850.0103,117.4915,117.4892,117.455,117.53,117.455,2026-07-31 16:59:00,192
13145.0005,117.4313,117.48,117.465,117.495,117.37,2026-07-31 17:00:00,244
7152.007499,117.4605,117.47,117.47,117.49,117.41,2026-07-31 17:01:00,174
5402.335957,117.5077,117.5,117.51,117.53,117.49,2026-07-31 17:02:00,97
7649.824266,117.615,117.55,117.68,117.6808,117.55,2026-07-31 17:03:00,175
9398.0,117.7156,117.685,117.8,117.85,117.65,2026-07-31 17:04:00,251
13672.699792,117.8681,117.79,117.84,117.92,117.79,2026-07-31 17:05:00,249
16603.195466,117.8102,117.83,117.76,117.84,117.75,2026-07-31 17:06:00,230
20218.457226,117.6426,117.82,117.56,117.82,117.485,2026-07-31 17:07:00,323
12373.80933,117.6025,117.56,117.63,117.65,117.55,2026-07-31 17:08:00,236
10629.74599,117.688,117.65,117.6504,117.73,117.63,2026-07-31 17:09:00,226
20385.909454,117.8287,117.67,118.065,118.07,117.66,2026-07-31 17:10:00,334
139108.83333,118.0997,118.065,118.28,118.3,117.9,2026-07-31 17:11:00,1672
36095.679407,118.4415,118.35,118.52,118.565,118.34,2026-07-31 17:12:00,529
13568.683287,118.4983,118.52,118.43,118.545,118.43,2026-07-31 17:13:00,260
9136.3,118.5304,118.47,118.5808,118.61,118.46,2026-07-31 17:14:00,215
12404.32662,118.6417,118.58,118.66,118.72,118.57,2026-07-31 17:15:00,230
13769.560266,118.6353,118.66,118.545,118.73,118.51,2026-07-31 17:16:00,301
12019.935538,118.4493,118.52,118.31,118.525,118.28,2026-07-31 17:17:00,229
90480.323228,118.0869,118.35,117.98,118.36,117.965,2026-07-31 17:18:00,1220
18538.819152,117.9948,117.98,118.01,118.04,117.93,2026-07-31 17:19:00,294
10774.033,118.2097,118.0123,118.26,118.355,118.0123,2026-07-31 17:20:00,207
9752.723174,118.2469,118.28,118.255,118.29,118.2,2026-07-31 17:21:00,220
8480.488681,118.2759,118.275,118.31,118.32,118.25,2026-07-31 17:22:00,226
9735.798349,118.3503,118.3,118.355,118.395,118.29,2026-07-31 17:23:00,218
8718.1823,118.4681,118.39,118.555,118.56,118.39,2026-07-31 17:24:00,172
7131.93784,118.5442,118.545,118.55,118.55,118.51,2026-07-31 17:25:00,224
11734.343,118.5675,118.55,118.57,118.625,118.52,2026-07-31 17:26:00,298
16575.249519,118.5818,118.57,118.55,118.63,118.53,2026-07-31 17:27:00,299
37414.766164,118.6095,118.5801,118.59,118.64,118.55,2026-07-31 17:28:00,539
23249.49784,118.609,118.59,118.6,118.63,118.57,2026-07-31 17:29:00,376
12434.372121,118.5606,118.605,118.48,118.605,118.44,2026-07-31 17:30:00,306
11234.389814,118.4685,118.48,118.49,118.5,118.42,2026-07-31 17:31:00,266
11668.151718,118.4906,118.5,118.5,118.53,118.44,2026-07-31 17:32:00,300
19417.3836,118.5486,118.4935,118.58,118.61,118.48,2026-07-31 17:33:00,413
13773.782011,118.6634,118.58,118.58,118.72,118.58,2026-07-31 17:34:00,359
10399.901031,118.5747,118.5541,118.565,118.595,118.53,2026-07-31 17:35:00,275
7382.242137,118.5045,118.54,118.455,118.55,118.44,2026-07-31 17:36:00,221
17460.945295,118.476,118.455,118.44,118.5,118.425,2026-07-31 17:37:00,326
23078.304545,118.4052,118.445,118.44,118.485,118.32,2026-07-31 17:38:00,552
12541.042204,118.5669,118.47,118.61,118.625,118.46,2026-07-31 17:39:00,294
8728.816793,118.6568,118.6,118.745,118.745,118.6,2026-07-31 17:40:00,260
23561.235776,118.7363,118.745,118.78,118.83,118.67,2026-07-31 17:41:00,495
50904.108375,118.7746,118.77,118.67,118.84,118.665,2026-07-31 17:42:00,742
15531.68833,118.5681,118.675,118.505,118.675,118.46,2026-07-31 17:43:00,408
9456.74935,118.5034,118.5,118.48,118.51,118.47,2026-07-31 17:44:00,255
16292.0,118.511,118.48,118.465,118.55,118.43,2026-07-31 17:45:00,349
28606.397606,118.4475,118.47,118.425,118.495,118.38,2026-07-31 17:46:00,393
20432.919795,118.4144,118.43,118.33,118.43,118.33,2026-07-31 17:47:00,362
16011.619858,118.3036,118.315,118.3,118.3599,118.265,2026-07-31 17:48:00,408
13922.228808,118.3253,118.315,118.37,118.39,118.275,2026-07-31 17:49:00,267
9699.77189,118.4775,118.38,118.475,118.54,118.38,2026-07-31 17:50:00,180
13289.5,118.5177,118.51,118.54,118.56,118.47,2026-07-31 17:51:00,230
