Volume,vw,Open,Close,High,Low,timestamp,n
3561.0,123.4039,123.42,123.43,123.5,123.3235,2026-07-31 08:40:00,72
450.0,123.4504,123.43,123.52,123.52,123.43,2026-07-31 08:41:00,17
326.0,123.5077,123.5162,123.5162,123.5162,123.5162,2026-07-31 08:44:00,12
832.0,123.524,123.55,123.5192,123.55,123.5192,2026-07-31 08:45:00,14
715.0,123.5556,123.55,123.55,123.55,123.55,2026-07-31 08:46:00,24
559.121569,123.7712,123.75,123.75,123.75,123.75,2026-07-31 08:48:00,19
594.095166,123.8052,123.77,123.78,123.8,123.77,2026-07-31 08:49:00,12
1911.0,123.7028,123.71,123.47,123.9,123.47,2026-07-31 08:52:00,62
1522.0,123.7934,123.78,123.81,123.81,123.77,2026-07-31 08:55:00,25
182.441371,124.1578,123.8654,123.8654,123.8654,123.8654,2026-07-31 08:58:00,6
450.278645,123.8767,123.8,123.8,123.8,123.8,2026-07-31 08:59:00,10
261.0,123.7813,123.79,123.79,123.79,123.79,2026-07-31 09:00:00,9
1410.0,123.5129,123.52,123.5,123.52,123.5,2026-07-31 09:05:00,39
458.0,123.4957,123.49,123.49,123.49,123.49,2026-07-31 09:06:00,16
194.0,123.6426,123.675,123.675,123.675,123.675,2026-07-31 09:10:00,8
1809.66044,123.5373,123.5,123.44,123.5,123.44,2026-07-31 09:11:00,51
439.0,123.405,123.4,123.4,123.4,123.4,2026-07-31 09:12:00,20
746.0,123.4935,123.5,123.5,123.5,123.5,2026-07-31 09:13:00,15
212.0,123.4992,123.5,123.5,123.5,123.5,2026-07-31 09:14:00,3
1061.0,123.4289,123.48,123.4858,123.49,123.37,2026-07-31 09:17:00,37
1551.0,123.4078,123.41,123.4,123.47,123.4,2026-07-31 09:18:00,21
759.0,123.5486,123.5,123.5,123.7008,123.5,2026-07-31 09:24:00,19
146.343956,123.897,123.66,123.66,123.66,123.66,2026-07-31 09:26:00,8
304.754722,123.8796,123.69,123.5,123.69,123.5,2026-07-31 09:30:00,15
416.0,123.4283,123.3719,123.44,123.44,123.3719,2026-07-31 09:33:00,14
126.746222,124.1817,123.46,123.46,123.46,123.46,2026-07-31 09:34:00,10
744.320594,123.4135,123.37,123.36,123.37,123.36,2026-07-31 09:35:00,37
291.0,123.305,123.3,123.3,123.3,123.3,2026-07-31 09:36:00,31
2030.0,123.3483,123.34,123.36,123.36,123.34,2026-07-31 09:37:00,56
2124.223231,123.3012,123.3,123.25,123.31,123.25,2026-07-31 09:39:00,65
603.0,123.2476,123.2383,123.2383,123.2383,123.2383,2026-07-31 09:40:00,13
398.121557,123.3358,123.3,123.3,123.3,123.3,2026-07-31 09:47:00,18
607.942448,123.4768,123.3,123.3,123.3,123.3,2026-07-31 09:48:00,20
222.009747,123.3719,123.35,123.35,123.35,123.35,2026-07-31 09:50:00,7
226.881369,123.7765,123.22,123.22,123.22,123.22,2026-07-31 09:51:00,10
271.0,123.3163,123.3,123.3,123.3,123.3,2026-07-31 09:52:00,9
247.0,123.3217,123.3,123.3,123.3,123.3,2026-07-31 09:53:00,10
335.0,123.2628,123.28,123.22,123.28,123.22,2026-07-31 09:55:00,7
278.0,123.2562,123.26,123.25,123.26,123.25,2026-07-31 09:57:00,10
1260.0,123.2443,123.34,123.2206,123.34,123.2206,2026-07-31 09:58:00,8
419.0,123.2737,123.27,123.27,123.27,123.27,2026-07-31 10:01:00,16
1022.0,123.2165,123.24,123.22,123.24,123.16,2026-07-31 10:02:00,47
436.795133,123.5273,123.31,123.31,123.31,123.31,2026-07-31 10:03:00,16
390.0,123.3386,123.26,123.4398,123.4398,123.26,2026-07-31 10:04:00,14
2301.0,123.3997,123.36,123.41,123.58,123.34,2026-07-31 10:09:00,64
1915.970399,123.1934,123.16,123.1,123.16,123.1,2026-07-31 10:16:00,86
2369.08052,123.0764,123.15,123.06,123.15,123.06,2026-07-31 10:17:00,19
1474.048811,123.1248,123.14,123.08,123.14,123.08,2026-07-31 10:19:00,36
498.607785,123.3729,123.2,123.26,123.26,123.2,2026-07-31 10:20:00,12
249.0,123.2149,123.22,123.22,123.22,123.22,2026-07-31 10:22:00,11
291.072541,123.2093,123.1459,123.1459,123.1459,123.1459,2026-07-31 10:23:00,11
604.0,123.2234,123.23,123.23,123.23,123.23,2026-07-31 10:24:00,26
818.0,123.1671,123.23,123.13,123.23,123.13,2026-07-31 10:32:00,15
305.0,123.0768,123.1,123.1,123.1,123.1,2026-07-31 10:33:00,33
